population,median_income,median_house_val,num_of_white,num_of_black,num_of_indigenous,num_of_asian,num_of_islanders,num_of_others,state,county
24607.0,68677.0,328900.0,22375.0,190.0,161.0,139.0,4.0,7.0,CO,119
4834.0,54141.0,173000.0,4501.0,92.0,0.0,18.0,1.0,74.0,CO,121
322424.0,80843.0,352000.0,267860.0,4357.0,2236.0,5523.0,480.0,16440.0,CO,123
9944.0,56327.0,184400.0,8593.0,130.0,53.0,5.0,0.0,114.0,CO,125
24374.0,45710.0,104100.0,16986.0,6550.0,37.0,63.0,0.0,139.0,SC,001
168045.0,57572.0,159600.0,114895.0,41722.0,192.0,1737.0,0.0,1328.0,SC,003
8304.0,31800.0,53800.0,1902.0,6080.0,17.0,68.0,9.0,148.0,SC,005
202223.0,56796.0,160700.0,158601.0,31194.0,584.0,2002.0,71.0,2399.0,SC,007
13525.0,44408.0,86300.0,5033.0,8144.0,31.0,34.0,0.0,129.0,SC,009
20801.0,38237.0,89200.0,10697.0,9696.0,15.0,18.0,0.0,239.0,SC,011
186007.0,74199.0,328500.0,133911.0,31444.0,325.0,2203.0,118.0,9199.0,SC,013
224806.0,70786.0,216100.0,146304.0,52867.0,863.0,5241.0,201.0,7263.0,SC,015
14198.0,52491.0,114500.0,7970.0,5642.0,32.0,13.0,105.0,141.0,SC,017
404946.0,70807.0,352800.0,273058.0,102981.0,978.0,6687.0,365.0,8039.0,SC,019
56204.0,41330.0,106100.0,41308.0,11102.0,56.0,132.0,9.0,1338.0,SC,021
32273.0,46441.0,104900.0,19262.0,11939.0,118.0,160.0,0.0,109.0,SC,023
43655.0,45046.0,83800.0,27344.0,13615.0,81.0,219.0,0.0,474.0,SC,025
31613.0,45542.0,115800.0,15450.0,14657.0,30.0,251.0,7.0,512.0,SC,027
38520.0,41419.0,102000.0,21857.0,13837.0,345.0,196.0,0.0,1104.0,SC,029
63433.0,40704.0,105300.0,35329.0,26287.0,149.0,218.0,9.0,188.0,SC,031
28527.0,39780.0,83400.0,13225.0,13509.0,691.0,18.0,0.0,463.0,SC,033
160180.0,68046.0,228700.0,104774.0,39796.0,420.0,3134.0,988.0,3721.0,SC,035
25938.0,55183.0,149000.0,15572.0,8870.0,68.0,42.0,26.0,300.0,SC,037
21186.0,41755.0,110000.0,8320.0,12129.0,84.0,50.0,0.0,1.0,SC,039
137276.0,51902.0,139900.0,70811.0,58977.0,337.0,1985.0,42.0,1925.0,SC,041
62992.0,55719.0,199500.0,41062.0,19272.0,87.0,359.0,0.0,1329.0,SC,043
